time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-01-11T20:54:28.421Z,37.5586,137.6474,10,4.5,mb,43,110,0.681,0.68,us,us6000m36x,2024-01-11T21:11:52.040Z,"61 km NNW of Itoigawa, Japan",earthquake,4.51,1.883,0.109,25,reviewed,us,us
2024-01-11T20:32:03.650Z,55.9187,-153.7341,27.2,3.1,ml,,,,0.86,ak,ak024ij0e9z,2024-01-12T13:39:03.040Z,"117 km SSE of Akhiok, Alaska",earthquake,,2.3,,,reviewed,ak,ak
2024-01-11T19:45:15.312Z,48.3343,154.7035,35,4.5,mb,44,137,5.144,0.43,us,us6000m36b,2024-01-11T20:09:27.040Z,"280 km SSW of Severo-Kuril’sk, Russia",earthquake,10,1.925,0.093,35,reviewed,us,us
2024-01-11T19:34:15.597Z,-22.6206,-66.2812,259.361,4.3,mb,29,48,1.782,0.97,us,us6000m365,2024-01-11T19:47:59.040Z,"61 km W of Abra Pampa, Argentina",earthquake,9.11,9.05,0.177,9,reviewed,us,us
2024-01-11T18:25:40.393Z,61.5868,-151.12,65,3.7,ml,,,,0.68,ak,ak024ihs2a8,2024-01-13T16:52:17.310Z,"32 km W of Susitna, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2024-01-11T17:28:52.739Z,-34.7821,-71.698,49.807,4.3,mwr,34,146,0.638,0.64,us,us6000m35n,2024-01-11T17:44:28.040Z,"34 km WSW of Santa Cruz, Chile",earthquake,2.35,7.715,0.065,23,reviewed,us,us
2024-01-11T17:18:32.117Z,31.3458,-115.3993,10,3.3,ml,29,85,0.322,0.51,us,us6000m35m,2024-01-11T18:11:42.725Z,"64 km WNW of San Felipe, Mexico",earthquake,1.06,1.932,0.052,48,reviewed,us,us
2024-01-11T16:27:27.693Z,-28.2208,-176.8085,39.138,4.8,mb,22,129,1.418,0.97,us,us6000m35f,2024-01-11T16:51:45.040Z,"Kermadec Islands region",earthquake,10.02,7.661,0.119,22,reviewed,us,us
2024-01-11T16:18:21.106Z,-23.8999,-179.7548,500.956,4.8,mb,48,103,5.008,0.93,us,us6000m35e,2024-01-11T16:35:00.040Z,"south of the Fiji Islands",earthquake,13.6,9.264,0.068,66,reviewed,us,us
2024-01-11T14:59:35.305Z,1.9846,124.1193,308.833,4.3,mb,30,52,3.294,0.83,us,us6000m33e,2024-01-11T16:57:30.040Z,"98 km NW of Manado, Indonesia",earthquake,8.16,10.582,0.111,23,reviewed,us,us
2024-01-11T14:52:45.617Z,32.1202,-93.3298,5,2.8,mb_lg,11,105,0.778,0.73,us,us6000m33c,2024-01-12T17:18:04.773Z,"6 km SSW of Hall Summit, Louisiana",earthquake,2.65,1.942,0.084,37,reviewed,us,us
2024-01-11T14:26:33.176Z,-9.5536,106.7618,33.249,4.6,mb,25,94,1.383,1.08,us,us6000m339,2024-01-11T14:51:20.040Z,"271 km SSW of Banjar, Indonesia",earthquake,5.31,6.184,0.119,21,reviewed,us,us
2024-01-11T14:17:23.610Z,18.028,-66.8078333333333,17.44,2.53,md,12,116,0.01744,0.24,pr,pr71436693,2024-01-11T14:30:10.130Z,"1 km WNW of Guayanilla, Puerto Rico",earthquake,0.74,1.04,0.0620224023722078,5,reviewed,pr,pr
